samaccountname;name;surname;userPrincipalName
99940252;Claudina;Federica;Claudina.Federica@gmail.com
99941479;Pierette;Pierette;Pierette.Pierette@gmail.com
99972817;Bee;Burnside;Bee.Burnside@gmail.com
99943040;Marleah;Monk;Marleah.Monk@gmail.com
99971872;Mahalia;Beebe;Mahalia.Beebe@gmail.com
99947575;Dyann;Katrine;Dyann.Katrine@gmail.com
99970984;Nessie;Yerkovich;Nessie.Yerkovich@gmail.com
99902464;Alisha;Huggins;Alisha.Huggins@gmail.com
99991404;Ezmeralda;Alva;Ezmeralda.Alva@gmail.com
99952015;Edee;Gunn;Edee.Gunn@gmail.com
