samaccountname;name;surname;userPrincipalName
99961492;Addia;Kenney;Addia.Kenney@gmail.com
99954770;Lulita;Irmine;Lulita.Irmine@gmail.com
99946840;Codie;Ciro;Codie.Ciro@gmail.com
99995132;Marinna;Anselmi;Marinna.Anselmi@gmail.com
99971907;Tatiania;Ivens;Tatiania.Ivens@gmail.com
99987912;Veda;Teryn;Veda.Teryn@gmail.com
99931375;Aili;Brackely;Aili.Brackely@gmail.com
99921025;Leia;Kirstin;Leia.Kirstin@gmail.com
99991977;Ekaterina;Chabot;Ekaterina.Chabot@gmail.com
99954535;Codie;Chesna;Codie.Chesna@gmail.com
